idx,id,opened
0,1,2015-01-01
1,4,2015-01-01
2,6,2015-01-01
3,11,2015-01-01
4,140,2015-01-01
5,141,2015-01-01
6,14,2015-01-01
7,15,2015-01-01
8,16,2015-01-01
9,17,2015-01-01
10,142,2015-01-01
11,143,2015-01-01
12,20,2015-01-01
13,21,2015-01-01
14,145,2015-01-01
15,23,2015-01-01
16,149,2015-01-01
17,29,2015-01-01
18,32,2015-01-01
19,33,2015-01-01
20,36,2015-01-01
21,38,2015-01-01
22,42,2015-01-01
23,46,2015-01-01
24,51,2015-01-01
25,54,2015-01-01
26,59,2015-01-01
27,67,2015-01-01
28,68,2015-01-01
29,70,2015-01-01
30,72,2015-01-01
31,73,2015-01-01
32,74,2015-01-01
33,75,2015-01-01
34,76,2015-01-01
35,80,2015-01-01
36,81,2015-01-01
37,84,2015-01-01
38,85,2015-01-01
39,87,2015-01-01
40,88,2015-01-01
41,89,2015-01-01
42,90,2015-01-01
43,91,2015-01-01
44,95,2015-01-01
45,96,2015-01-01
46,97,2015-01-01
47,98,2015-01-01
48,104,2015-01-01
49,105,2015-01-01
50,107,2015-01-01
51,108,2015-01-01
52,109,2015-01-01
53,110,2015-01-01
54,115,2015-01-01
55,116,2015-01-01
56,117,2015-01-01
57,118,2015-01-01
0,108,2015-03-01
1,75,2015-03-01
2,70,2015-03-01
3,97,2015-03-01
4,110,2015-03-01
5,84,2015-03-01
6,95,2015-03-01
7,104,2015-03-01
8,76,2015-03-01
9,90,2015-03-01
10,145,2015-03-01
11,142,2015-03-01
12,91,2015-03-01
13,115,2015-03-01
14,96,2015-03-01
15,67,2015-03-01
16,141,2015-03-01
17,73,2015-03-01
18,89,2015-03-01
19,87,2015-03-01
20,\N,2015-03-01
21,117,2015-03-01
22,140,2015-03-01
23,105,2015-03-01
24,68,2015-03-01
25,118,2015-03-01
26,80,2015-03-01
27,72,2015-03-01
28,107,2015-03-01
29,116,2015-03-01
30,1,2015-03-01
31,74,2015-03-01
32,88,2015-03-01
33,143,2015-03-01
0,3,2015-04-01
1,5,2015-04-01
2,7,2015-04-01
3,8,2015-04-01
4,9,2015-04-01
5,10,2015-04-01
6,12,2015-04-01
7,13,2015-04-01
8,19,2015-04-01
9,22,2015-04-01
10,24,2015-04-01
11,25,2015-04-01
12,26,2015-04-01
13,27,2015-04-01
14,30,2015-04-01
15,31,2015-04-01
16,35,2015-04-01
17,37,2015-04-01
18,39,2015-04-01
19,40,2015-04-01
20,41,2015-04-01
21,43,2015-04-01
22,44,2015-04-01
23,45,2015-04-01
24,47,2015-04-01
25,48,2015-04-01
26,49,2015-04-01
27,50,2015-04-01
28,52,2015-04-01
29,53,2015-04-01
